标准岗位,标准城市,技能,出现岗位数,岗位内出现率
BI分析师,北京,SQL,1,25.0%
BI分析师,北京,Superset,1,25.0%
BI分析师,北京,Tableau,1,25.0%
BI分析师,北京,数据仓库,1,25.0%
BI分析师,广州,ClickHouse,1,20.0%
BI分析师,广州,ETL,1,20.0%
BI分析师,广州,Hive,1,20.0%
BI分析师,广州,Java,1,20.0%
BI分析师,广州,Tableau,1,20.0%
BI分析师,广州,统计分析,1,20.0%
BI分析师,成都,ETL,1,100.0%
BI分析师,成都,Power BI,1,100.0%
BI分析师,杭州,FineBI,1,100.0%
BI分析师,杭州,Hive,1,100.0%
BI分析师,杭州,MySQL,1,100.0%
BI分析师,杭州,Oracle,1,100.0%
BI分析师,杭州,SQL,1,100.0%
BI分析师,武汉,ETL,1,100.0%
BI分析师,武汉,Oracle,1,100.0%
BI分析师,武汉,SQL,1,100.0%
BI分析师,武汉,数据建模,1,100.0%
BI分析师,深圳,ERP,1,50.0%
BI分析师,深圳,Excel,1,50.0%
BI分析师,深圳,PyTorch,1,50.0%
BI分析师,深圳,Python,1,50.0%
BI分析师,深圳,R,1,50.0%
BI分析师,深圳,SQL,1,50.0%
BI分析师,深圳,TensorFlow,1,50.0%
BI分析师,深圳,数据可视化,1,50.0%
BI分析师,深圳,机器学习,1,50.0%
BI分析师,深圳,深度学习,1,50.0%
BI分析师,深圳,统计分析,1,50.0%
Python开发工程师,上海,CSS,1,1.5%
Python开发工程师,上海,Doris,1,1.5%
Python开发工程师,上海,ERP,1,1.5%
Python开发工程师,上海,HTML,1,1.5%
Python开发工程师,上海,Hive,1,1.5%
Python开发工程师,上海,JavaScript,1,1.5%
Python开发工程师,上海,Jenkins,1,1.5%
Python开发工程师,上海,Nginx,1,1.5%
Python开发工程师,上海,SQL Server,1,1.5%
Python开发工程师,上海,Spark,1,1.5%
Python开发工程师,上海,TypeScript,1,1.5%
Python开发工程师,上海,数据治理,1,1.5%
Python开发工程师,北京,A,1,1.1%
Python开发工程师,北京,B测试,1,1.1%
Python开发工程师,北京,ERP,1,1.1%
Python开发工程师,北京,Excel,1,1.1%
Python开发工程师,北京,Flink,1,1.1%
Python开发工程师,北京,GitLab CI,1,1.1%
Python开发工程师,北京,Jenkins,1,1.1%
Python开发工程师,北京,Neo4j,1,1.1%
Python开发工程师,北京,PySpark,1,1.1%
Python开发工程师,北京,Pydantic,1,1.1%
Python开发工程师,北京,Spring Boot,1,1.1%
Python开发工程师,北京,Transformers,1,1.1%
Python开发工程师,北京,TypeScript,1,1.1%
Python开发工程师,北京,数据可视化,1,1.1%
Python开发工程师,北京,数据挖掘,1,1.1%
Python开发工程师,北京,统计分析,1,1.1%
Python开发工程师,南京,Elasticsearch,1,5.3%
Python开发工程师,南京,Hadoop,1,5.3%
Python开发工程师,南京,Java,1,5.3%
Python开发工程师,南京,JavaScript,1,5.3%
Python开发工程师,南京,LangChain,1,5.3%
Python开发工程师,南京,Spark,1,5.3%
Python开发工程师,南京,TypeScript,1,5.3%
Python开发工程师,南京,scikit-learn,1,5.3%
Python开发工程师,南京,数据仓库,1,5.3%
Python开发工程师,南京,机器学习,1,5.3%
Python开发工程师,广州,Azure,1,3.0%
Python开发工程师,广州,Dask,1,3.0%
Python开发工程师,广州,Elasticsearch,1,3.0%
Python开发工程师,广州,Hive,1,3.0%
Python开发工程师,广州,IP,1,3.0%
Python开发工程师,广州,NLP,1,3.0%
Python开发工程师,广州,SQL Server,1,3.0%
Python开发工程师,广州,Spark,1,3.0%
Python开发工程师,广州,Spark SQL,1,3.0%
Python开发工程师,广州,TCP,1,3.0%
Python开发工程师,广州,scikit-learn,1,3.0%
Python开发工程师,广州,推荐算法,1,3.0%
Python开发工程师,广州,计算机视觉,1,3.0%
Python开发工程师,广州,阿里云,1,3.0%
Python开发工程师,成都,CSS,1,3.1%
Python开发工程师,成都,Elasticsearch,1,3.1%
Python开发工程师,成都,GitLab CI,1,3.1%
Python开发工程师,成都,HTML,1,3.1%
Python开发工程师,成都,Jenkins,1,3.1%
Python开发工程师,成都,MongoDB,1,3.1%
Python开发工程师,成都,NLP,1,3.1%
Python开发工程师,成都,Node.js,1,3.1%
Python开发工程师,成都,Prompt Engineering,1,3.1%
Python开发工程师,成都,PyTorch,1,3.1%
Python开发工程师,成都,SQL Server,1,3.1%
Python开发工程师,成都,TypeScript,1,3.1%
Python开发工程师,成都,Vue,1,3.1%
Python开发工程师,成都,数据挖掘,1,3.1%
Python开发工程师,杭州,CSS,1,4.0%
Python开发工程师,杭州,HTML,1,4.0%
Python开发工程师,杭州,IP,1,4.0%
Python开发工程师,杭州,JavaScript,1,4.0%
Python开发工程师,杭州,Kubernetes,1,4.0%
Python开发工程师,杭州,Nginx,1,4.0%
Python开发工程师,杭州,PyTorch,1,4.0%
Python开发工程师,杭州,React,1,4.0%
Python开发工程师,杭州,Spring Boot,1,4.0%
Python开发工程师,杭州,TCP,1,4.0%
Python开发工程师,杭州,推荐算法,1,4.0%
Python开发工程师,武汉,Flink,1,5.3%
Python开发工程师,武汉,Hive,1,5.3%
Python开发工程师,武汉,IP,1,5.3%
Python开发工程师,武汉,Java,1,5.3%
Python开发工程师,武汉,Jenkins,1,5.3%
Python开发工程师,武汉,PySpark,1,5.3%
Python开发工程师,武汉,Pydantic,1,5.3%
Python开发工程师,武汉,RAG,1,5.3%
Python开发工程师,武汉,React,1,5.3%
Python开发工程师,武汉,SQLAlchemy,1,5.3%
Python开发工程师,武汉,Spark,1,5.3%
Python开发工程师,武汉,Spark SQL,1,5.3%
Python开发工程师,武汉,TCP,1,5.3%
Python开发工程师,武汉,数据仓库,1,5.3%
Python开发工程师,武汉,深度学习,1,5.3%
Python开发工程师,深圳,AWS,1,1.2%
Python开发工程师,深圳,Azure,1,1.2%
Python开发工程师,深圳,CSS,1,1.2%
Python开发工程师,深圳,ClickHouse,1,1.2%
Python开发工程师,深圳,Elasticsearch,1,1.2%
Python开发工程师,深圳,HTML,1,1.2%
Python开发工程师,深圳,Hive,1,1.2%
Python开发工程师,深圳,NLP,1,1.2%
Python开发工程师,深圳,RAG,1,1.2%
Python开发工程师,深圳,SQL Server,1,1.2%
Python开发工程师,深圳,Spark,1,1.2%
Python开发工程师,深圳,Spring Boot,1,1.2%
Python开发工程师,深圳,Vue,1,1.2%
Python开发工程师,深圳,scikit-learn,1,1.2%
Python开发工程师,深圳,数据挖掘,1,1.2%
Python开发工程师,深圳,计算机视觉,1,1.2%
Python开发工程师,深圳,阿里云,1,1.2%
Python开发工程师,西安,Airflow,1,2.2%
Python开发工程师,西安,CSS,1,2.2%
Python开发工程师,西安,GitLab CI,1,2.2%
Python开发工程师,西安,HTML,1,2.2%
Python开发工程师,西安,Hadoop,1,2.2%
Python开发工程师,西安,IP,1,2.2%
Python开发工程师,西安,JavaScript,1,2.2%
Python开发工程师,西安,LangChain,1,2.2%
Python开发工程师,西安,Nginx,1,2.2%
Python开发工程师,西安,Power BI,1,2.2%
Python开发工程师,西安,Spark,1,2.2%
Python开发工程师,西安,TCP,1,2.2%
Python开发工程师,西安,Tableau,1,2.2%
Python开发工程师,西安,TypeScript,1,2.2%
Python开发工程师,西安,数据可视化,1,2.2%
Python开发工程师,西安,数据挖掘,1,2.2%
Python开发工程师,西安,腾讯云,1,2.2%
Python开发工程师,西安,阿里云,1,2.2%
Python开发工程师,重庆,Dask,1,8.3%
Python开发工程师,重庆,Django,1,8.3%
Python开发工程师,重庆,ETL,1,8.3%
Python开发工程师,重庆,Elasticsearch,1,8.3%
Python开发工程师,重庆,Flink,1,8.3%
Python开发工程师,重庆,Hadoop,1,8.3%
Python开发工程师,重庆,LangChain,1,8.3%
Python开发工程师,重庆,MongoDB,1,8.3%
Python开发工程师,重庆,Node.js,1,8.3%
Python开发工程师,重庆,PostgreSQL,1,8.3%
Python开发工程师,重庆,Pydantic,1,8.3%
Python开发工程师,重庆,Redis,1,8.3%
Python开发工程师,重庆,SQLAlchemy,1,8.3%
Python开发工程师,重庆,TensorFlow,1,8.3%
Python开发工程师,重庆,scikit-learn,1,8.3%
Python开发工程师,重庆,大语言模型,1,8.3%
Python开发工程师,重庆,数据仓库,1,8.3%
Python开发工程师,重庆,机器学习,1,8.3%
大数据开发工程师,上海,Azure,1,3.2%
大数据开发工程师,上海,CSS,1,3.2%
大数据开发工程师,上海,Docker,1,3.2%
大数据开发工程师,上海,Doris,1,3.2%
大数据开发工程师,上海,ERP,1,3.2%
大数据开发工程师,上海,Excel,1,3.2%
大数据开发工程师,上海,FineBI,1,3.2%
大数据开发工程师,上海,FineReport,1,3.2%
大数据开发工程师,上海,Flume,1,3.2%
大数据开发工程师,上海,HTML,1,3.2%
大数据开发工程师,上海,NLP,1,3.2%
大数据开发工程师,上海,OceanBase,1,3.2%
大数据开发工程师,上海,Power BI,1,3.2%
大数据开发工程师,上海,Prompt Engineering,1,3.2%
大数据开发工程师,上海,PyTorch,1,3.2%
大数据开发工程师,上海,Quick BI,1,3.2%
大数据开发工程师,上海,React,1,3.2%
大数据开发工程师,上海,SQL Server,1,3.2%
大数据开发工程师,上海,Tableau,1,3.2%
大数据开发工程师,上海,TensorFlow,1,3.2%
大数据开发工程师,上海,scikit-learn,1,3.2%
大数据开发工程师,上海,华为云,1,3.2%
大数据开发工程师,上海,数据治理,1,3.2%
大数据开发工程师,上海,数据湖,1,3.2%
大数据开发工程师,上海,腾讯云,1,3.2%
大数据开发工程师,北京,AWS,1,1.9%
大数据开发工程师,北京,Azure,1,1.9%
大数据开发工程师,北京,C++,1,1.9%
大数据开发工程师,北京,CSS,1,1.9%
大数据开发工程师,北京,Flink SQL,1,1.9%
大数据开发工程师,北京,HTML,1,1.9%
大数据开发工程师,北京,Kettle,1,1.9%
大数据开发工程师,北京,NLP,1,1.9%
大数据开发工程师,北京,Neo4j,1,1.9%
大数据开发工程师,北京,Node.js,1,1.9%
大数据开发工程师,北京,R,1,1.9%
大数据开发工程师,北京,Transformers,1,1.9%
大数据开发工程师,北京,Trino,1,1.9%
大数据开发工程师,北京,TypeScript,1,1.9%
大数据开发工程师,北京,华为云,1,1.9%
大数据开发工程师,北京,推荐算法,1,1.9%
大数据开发工程师,北京,数据可视化,1,1.9%
大数据开发工程师,北京,深度学习,1,1.9%
大数据开发工程师,北京,腾讯云,1,1.9%
大数据开发工程师,北京,阿里云,1,1.9%
大数据开发工程师,南京,Airflow,1,5.3%
大数据开发工程师,南京,C++,1,5.3%
大数据开发工程师,南京,ClickHouse,1,5.3%
大数据开发工程师,南京,DataX,1,5.3%
大数据开发工程师,南京,Doris,1,5.3%
大数据开发工程师,南京,Flume,1,5.3%
大数据开发工程师,南京,Git,1,5.3%
大数据开发工程师,南京,PostgreSQL,1,5.3%
大数据开发工程师,南京,SQL Server,1,5.3%
大数据开发工程师,南京,Spark SQL,1,5.3%
大数据开发工程师,南京,Spring Boot,1,5.3%
大数据开发工程师,南京,Sqoop,1,5.3%
大数据开发工程师,南京,Trino,1,5.3%
大数据开发工程师,南京,华为云,1,5.3%
大数据开发工程师,南京,机器学习,1,5.3%
大数据开发工程师,南京,统计分析,1,5.3%
大数据开发工程师,广州,AWS,1,2.9%
大数据开发工程师,广州,BI,1,2.9%
大数据开发工程师,广州,CSS,1,2.9%
大数据开发工程师,广州,Docker,1,2.9%
大数据开发工程师,广州,Excel,1,2.9%
大数据开发工程师,广州,Git,1,2.9%
大数据开发工程师,广州,HTML,1,2.9%
大数据开发工程师,广州,JavaScript,1,2.9%
大数据开发工程师,广州,Kubernetes,1,2.9%
大数据开发工程师,广州,MaxCompute,1,2.9%
大数据开发工程师,广州,MongoDB,1,2.9%
大数据开发工程师,广州,Nginx,1,2.9%
大数据开发工程师,广州,RAG,1,2.9%
大数据开发工程师,广州,StarRocks,1,2.9%
大数据开发工程师,广州,Tableau,1,2.9%
大数据开发工程师,广州,Trino,1,2.9%
大数据开发工程师,广州,scikit-learn,1,2.9%
大数据开发工程师,广州,大语言模型,1,2.9%
大数据开发工程师,广州,数据可视化,1,2.9%
大数据开发工程师,广州,深度学习,1,2.9%
大数据开发工程师,广州,腾讯云,1,2.9%
大数据开发工程师,成都,Airflow,1,7.1%
大数据开发工程师,成都,DataX,1,7.1%
大数据开发工程师,成都,Django,1,7.1%
大数据开发工程师,成都,FineBI,1,7.1%
大数据开发工程师,成都,Flask,1,7.1%
大数据开发工程师,成都,Git,1,7.1%
大数据开发工程师,成都,Kettle,1,7.1%
大数据开发工程师,成都,Kubernetes,1,7.1%
大数据开发工程师,成都,MaxCompute,1,7.1%
大数据开发工程师,成都,MongoDB,1,7.1%
大数据开发工程师,成都,Pandas,1,7.1%
大数据开发工程师,成都,SQL Server,1,7.1%
大数据开发工程师,成都,Trino,1,7.1%
大数据开发工程师,成都,华为云,1,7.1%
大数据开发工程师,成都,大语言模型,1,7.1%
大数据开发工程师,成都,数据可视化,1,7.1%
大数据开发工程师,成都,机器学习,1,7.1%
大数据开发工程师,成都,达梦数据库,1,7.1%
大数据开发工程师,成都,阿里云,1,7.1%
大数据开发工程师,杭州,AWS,1,10.0%
大数据开发工程师,杭州,Airflow,1,10.0%
大数据开发工程师,杭州,Azure,1,10.0%
大数据开发工程师,杭州,BI,1,10.0%
大数据开发工程师,杭州,Linux,1,10.0%
大数据开发工程师,杭州,MaxCompute,1,10.0%
大数据开发工程师,杭州,MySQL,1,10.0%
大数据开发工程师,杭州,Oracle,1,10.0%
大数据开发工程师,杭州,SQL Server,1,10.0%
大数据开发工程师,杭州,数据可视化,1,10.0%
大数据开发工程师,杭州,统计分析,1,10.0%
大数据开发工程师,杭州,阿里云,1,10.0%
大数据开发工程师,武汉,BI,1,5.0%
大数据开发工程师,武汉,DataX,1,5.0%
大数据开发工程师,武汉,Doris,1,5.0%
大数据开发工程师,武汉,Flink SQL,1,5.0%
大数据开发工程师,武汉,Git,1,5.0%
大数据开发工程师,武汉,Hive SQL,1,5.0%
大数据开发工程师,武汉,Kettle,1,5.0%
大数据开发工程师,武汉,MaxCompute,1,5.0%
大数据开发工程师,武汉,Nginx,1,5.0%
大数据开发工程师,武汉,Prompt Engineering,1,5.0%
大数据开发工程师,武汉,Redis,1,5.0%
大数据开发工程师,武汉,数据可视化,1,5.0%
大数据开发工程师,武汉,数据湖,1,5.0%
大数据开发工程师,深圳,BI,1,2.3%
大数据开发工程师,深圳,DataX,1,2.3%
大数据开发工程师,深圳,Django,1,2.3%
大数据开发工程师,深圳,Docker,1,2.3%
大数据开发工程师,深圳,FineReport,1,2.3%
大数据开发工程师,深圳,Flask,1,2.3%
大数据开发工程师,深圳,Flink SQL,1,2.3%
大数据开发工程师,深圳,Git,1,2.3%
大数据开发工程师,深圳,Kettle,1,2.3%
大数据开发工程师,深圳,LangChain,1,2.3%
大数据开发工程师,深圳,MaxCompute,1,2.3%
大数据开发工程师,深圳,MongoDB,1,2.3%
大数据开发工程师,深圳,Nginx,1,2.3%
大数据开发工程师,深圳,R,1,2.3%
大数据开发工程师,深圳,TiDB,1,2.3%
大数据开发工程师,深圳,Vue,1,2.3%
大数据开发工程师,深圳,scikit-learn,1,2.3%
大数据开发工程师,深圳,深度学习,1,2.3%
大数据开发工程师,深圳,阿里云,1,2.3%
大数据开发工程师,西安,C++,1,3.3%
大数据开发工程师,西安,DataX,1,3.3%
大数据开发工程师,西安,Excel,1,3.3%
大数据开发工程师,西安,SQL Server,1,3.3%
大数据开发工程师,西安,Trino,1,3.3%
大数据开发工程师,西安,大语言模型,1,3.3%
大数据开发工程师,西安,数据可视化,1,3.3%
大数据开发工程师,重庆,Airflow,1,9.1%
大数据开发工程师,重庆,CSS,1,9.1%
大数据开发工程师,重庆,Doris,1,9.1%
大数据开发工程师,重庆,FineBI,1,9.1%
大数据开发工程师,重庆,FineReport,1,9.1%
大数据开发工程师,重庆,Flume,1,9.1%
大数据开发工程师,重庆,Git,1,9.1%
大数据开发工程师,重庆,HTML,1,9.1%
大数据开发工程师,重庆,OceanBase,1,9.1%
大数据开发工程师,重庆,Oracle,1,9.1%
大数据开发工程师,重庆,数据可视化,1,9.1%
大数据开发工程师,重庆,数据挖掘,1,9.1%
大数据开发工程师,重庆,深度学习,1,9.1%
大数据开发工程师,重庆,达梦数据库,1,9.1%
数据仓库工程师,上海,BI,1,12.5%
数据仓库工程师,上海,HBase,1,12.5%
数据仓库工程师,上海,Kafka,1,12.5%
数据仓库工程师,上海,Kettle,1,12.5%
数据仓库工程师,上海,LangChain,1,12.5%
数据仓库工程师,上海,MaxCompute,1,12.5%
数据仓库工程师,上海,Prompt Engineering,1,12.5%
数据仓库工程师,上海,RAG,1,12.5%
数据仓库工程师,上海,大语言模型,1,12.5%
数据仓库工程师,北京,Doris,1,25.0%
数据仓库工程师,北京,Flink,1,25.0%
数据仓库工程师,北京,Hive SQL,1,25.0%
数据仓库工程师,北京,Linux,1,25.0%
数据仓库工程师,北京,MySQL,1,25.0%
数据仓库工程师,北京,Oracle,1,25.0%
数据仓库工程师,北京,Spark,1,25.0%
数据仓库工程师,北京,StarRocks,1,25.0%
数据仓库工程师,北京,大语言模型,1,25.0%
数据仓库工程师,北京,机器学习,1,25.0%
数据仓库工程师,南京,ClickHouse,1,100.0%
数据仓库工程师,南京,ETL,1,100.0%
数据仓库工程师,南京,Flink,1,100.0%
数据仓库工程师,南京,HBase,1,100.0%
数据仓库工程师,南京,Hadoop,1,100.0%
数据仓库工程师,南京,Hive,1,100.0%
数据仓库工程师,南京,Java,1,100.0%
数据仓库工程师,南京,Kafka,1,100.0%
数据仓库工程师,南京,SQL,1,100.0%
数据仓库工程师,南京,Scala,1,100.0%
数据仓库工程师,南京,Spark,1,100.0%
数据仓库工程师,南京,数据仓库,1,100.0%
数据仓库工程师,南京,数据建模,1,100.0%
数据仓库工程师,广州,DataX,1,25.0%
数据仓库工程师,广州,ERP,1,25.0%
数据仓库工程师,广州,Kettle,1,25.0%
数据仓库工程师,广州,Oracle,1,25.0%
数据仓库工程师,广州,Power BI,1,25.0%
数据仓库工程师,广州,Scala,1,25.0%
数据仓库工程师,广州,Tableau,1,25.0%
数据仓库工程师,广州,数据治理,1,25.0%
数据仓库工程师,广州,统计分析,1,25.0%
数据仓库工程师,成都,Airflow,1,20.0%
数据仓库工程师,成都,Doris,1,20.0%
数据仓库工程师,成都,Flume,1,20.0%
数据仓库工程师,成都,NumPy,1,20.0%
数据仓库工程师,成都,Pandas,1,20.0%
数据仓库工程师,成都,PostgreSQL,1,20.0%
数据仓库工程师,成都,PySpark,1,20.0%
数据仓库工程师,杭州,Airflow,1,50.0%
数据仓库工程师,杭州,ClickHouse,1,50.0%
数据仓库工程师,杭州,Flink,1,50.0%
数据仓库工程师,杭州,HBase,1,50.0%
数据仓库工程师,杭州,Hive,1,50.0%
数据仓库工程师,杭州,Java,1,50.0%
数据仓库工程师,杭州,Kafka,1,50.0%
数据仓库工程师,杭州,Spark,1,50.0%
数据仓库工程师,武汉,ETL,1,100.0%
数据仓库工程师,武汉,Flink,1,100.0%
数据仓库工程师,武汉,Hadoop,1,100.0%
数据仓库工程师,武汉,Hive,1,100.0%
数据仓库工程师,武汉,Kafka,1,100.0%
数据仓库工程师,武汉,SQL,1,100.0%
数据仓库工程师,武汉,Spark,1,100.0%
数据仓库工程师,武汉,数据仓库,1,100.0%
数据仓库工程师,武汉,数据建模,1,100.0%
数据仓库工程师,武汉,数据治理,1,100.0%
数据仓库工程师,深圳,Airflow,1,20.0%
数据仓库工程师,深圳,HBase,1,20.0%
数据仓库工程师,深圳,Java,1,20.0%
数据仓库工程师,深圳,Python,1,20.0%
数据仓库工程师,深圳,Scala,1,20.0%
数据仓库工程师,深圳,Tableau,1,20.0%
数据仓库工程师,深圳,数据治理,1,20.0%
数据分析师,上海,A,1,0.6%
数据分析师,上海,Airflow,1,0.6%
数据分析师,上海,B测试,1,0.6%
数据分析师,上海,Git,1,0.6%
数据分析师,上海,HBase,1,0.6%
数据分析师,上海,MongoDB,1,0.6%
数据分析师,上海,NLP,1,0.6%
数据分析师,上海,Neo4j,1,0.6%
数据分析师,上海,PostgreSQL,1,0.6%
数据分析师,上海,SQL Server,1,0.6%
数据分析师,上海,Scala,1,0.6%
数据分析师,上海,Spark SQL,1,0.6%
数据分析师,北京,DataX,1,0.6%
数据分析师,北京,Django,1,0.6%
数据分析师,北京,Doris,1,0.6%
数据分析师,北京,FastAPI,1,0.6%
数据分析师,北京,FineReport,1,0.6%
数据分析师,北京,Flask,1,0.6%
数据分析师,北京,Flume,1,0.6%
数据分析师,北京,Kafka,1,0.6%
数据分析师,北京,MaxCompute,1,0.6%
数据分析师,北京,MongoDB,1,0.6%
数据分析师,北京,Nginx,1,0.6%
数据分析师,北京,Plotly,1,0.6%
数据分析师,北京,PyTorch,1,0.6%
数据分析师,北京,RAG,1,0.6%
数据分析师,北京,Redis,1,0.6%
数据分析师,北京,Spring Boot,1,0.6%
数据分析师,北京,Sqoop,1,0.6%
数据分析师,北京,Trino,1,0.6%
数据分析师,北京,VBA,1,0.6%
数据分析师,北京,数据湖,1,0.6%
数据分析师,南京,BI,1,1.7%
数据分析师,南京,ECharts,1,1.7%
数据分析师,南京,Hadoop,1,1.7%
数据分析师,南京,LangChain,1,1.7%
数据分析师,南京,NLP,1,1.7%
数据分析师,南京,Spark SQL,1,1.7%
数据分析师,南京,Spring Boot,1,1.7%
数据分析师,南京,Transformers,1,1.7%
数据分析师,南京,Vue,1,1.7%
数据分析师,南京,计算机视觉,1,1.7%
数据分析师,广州,Airflow,1,0.7%
数据分析师,广州,ClickHouse,1,0.7%
数据分析师,广州,ECharts,1,0.7%
数据分析师,广州,ETL,1,0.7%
数据分析师,广州,Hive SQL,1,0.7%
数据分析师,广州,JavaScript,1,0.7%
数据分析师,广州,Jenkins,1,0.7%
数据分析师,广州,LangChain,1,0.7%
数据分析师,广州,Linux,1,0.7%
数据分析师,广州,NLP,1,0.7%
数据分析师,广州,Power Query,1,0.7%
数据分析师,广州,Prompt Engineering,1,0.7%
数据分析师,成都,C++,1,1.1%
数据分析师,成都,ClickHouse,1,1.1%
数据分析师,成都,ECharts,1,1.1%
数据分析师,成都,Flink,1,1.1%
数据分析师,成都,HBase,1,1.1%
数据分析师,成都,Hive,1,1.1%
数据分析师,成都,JavaScript,1,1.1%
数据分析师,成都,Kafka,1,1.1%
数据分析师,成都,Kubernetes,1,1.1%
数据分析师,成都,Linux,1,1.1%
数据分析师,成都,MATLAB,1,1.1%
数据分析师,成都,MaxCompute,1,1.1%
数据分析师,成都,OceanBase,1,1.1%
数据分析师,成都,Quick BI,1,1.1%
数据分析师,成都,RAG,1,1.1%
数据分析师,成都,Redis,1,1.1%
数据分析师,成都,TypeScript,1,1.1%
数据分析师,成都,推荐算法,1,1.1%
数据分析师,成都,阿里云,1,1.1%
数据分析师,杭州,BI,1,1.2%
数据分析师,杭州,C++,1,1.2%
数据分析师,杭州,Docker,1,1.2%
数据分析师,杭州,Doris,1,1.2%
数据分析师,杭州,FineReport,1,1.2%
数据分析师,杭州,Flink,1,1.2%
数据分析师,杭州,Hive SQL,1,1.2%
数据分析师,杭州,Kafka,1,1.2%
数据分析师,杭州,Kettle,1,1.2%
数据分析师,杭州,Kubernetes,1,1.2%
数据分析师,杭州,Linux,1,1.2%
数据分析师,杭州,MATLAB,1,1.2%
数据分析师,杭州,Matplotlib,1,1.2%
数据分析师,杭州,Prompt Engineering,1,1.2%
数据分析师,杭州,PyTorch,1,1.2%
数据分析师,杭州,SAS,1,1.2%
数据分析师,杭州,StarRocks,1,1.2%
数据分析师,杭州,TensorFlow,1,1.2%
数据分析师,杭州,scikit-learn,1,1.2%
数据分析师,杭州,数据治理,1,1.2%
数据分析师,杭州,阿里云,1,1.2%
数据分析师,武汉,DataX,1,1.5%
数据分析师,武汉,FineReport,1,1.5%
数据分析师,武汉,Flink,1,1.5%
数据分析师,武汉,Oracle,1,1.5%
数据分析师,武汉,Quick BI,1,1.5%
数据分析师,武汉,Redis,1,1.5%
数据分析师,武汉,Spring Boot,1,1.5%
数据分析师,武汉,大语言模型,1,1.5%
数据分析师,武汉,数据治理,1,1.5%
数据分析师,深圳,FastAPI,1,0.9%
数据分析师,深圳,Flask,1,0.9%
数据分析师,深圳,Flink,1,0.9%
数据分析师,深圳,MATLAB,1,0.9%
数据分析师,深圳,Power Query,1,0.9%
数据分析师,深圳,PySpark,1,0.9%
数据分析师,深圳,SQL Server,1,0.9%
数据分析师,深圳,Scala,1,0.9%
数据分析师,深圳,Spark SQL,1,0.9%
数据分析师,深圳,Superset,1,0.9%
数据分析师,深圳,Vue,1,0.9%
数据分析师,深圳,腾讯云,1,0.9%
数据分析师,深圳,达梦数据库,1,0.9%
数据分析师,西安,Doris,1,1.8%
数据分析师,西安,Elasticsearch,1,1.8%
数据分析师,西安,FastAPI,1,1.8%
数据分析师,西安,FineBI,1,1.8%
数据分析师,西安,HBase,1,1.8%
数据分析师,西安,Java,1,1.8%
数据分析师,西安,Kafka,1,1.8%
数据分析师,西安,Linux,1,1.8%
数据分析师,西安,Oracle,1,1.8%
数据分析师,西安,Power Query,1,1.8%
数据分析师,西安,PyTorch,1,1.8%
数据分析师,西安,Quick BI,1,1.8%
数据分析师,西安,RAG,1,1.8%
数据分析师,西安,Redis,1,1.8%
数据分析师,西安,SPSS,1,1.8%
数据分析师,西安,SQL Server,1,1.8%
数据分析师,西安,Seaborn,1,1.8%
数据分析师,西安,Spark SQL,1,1.8%
数据分析师,西安,TensorFlow,1,1.8%
数据分析师,西安,数据湖,1,1.8%
数据分析师,重庆,ClickHouse,1,2.6%
数据分析师,重庆,ERP,1,2.6%
数据分析师,重庆,Flink,1,2.6%
数据分析师,重庆,Linux,1,2.6%
数据分析师,重庆,Matplotlib,1,2.6%
数据分析师,重庆,MySQL,1,2.6%
数据分析师,重庆,Oracle,1,2.6%
数据分析师,重庆,SAS,1,2.6%
数据分析师,重庆,Seaborn,1,2.6%
数据分析师,重庆,Spark SQL,1,2.6%
数据分析师,重庆,大语言模型,1,2.6%
数据开发工程师,上海,BI,1,1.2%
数据开发工程师,上海,ERP,1,1.2%
数据开发工程师,上海,Git,1,1.2%
数据开发工程师,上海,Hive SQL,1,1.2%
数据开发工程师,上海,Jenkins,1,1.2%
数据开发工程师,上海,Kubernetes,1,1.2%
数据开发工程师,上海,Matplotlib,1,1.2%
数据开发工程师,上海,MaxCompute,1,1.2%
数据开发工程师,上海,NLP,1,1.2%
数据开发工程师,上海,OceanBase,1,1.2%
数据开发工程师,上海,PyTorch,1,1.2%
数据开发工程师,上海,Quick BI,1,1.2%
数据开发工程师,上海,RAG,1,1.2%
数据开发工程师,上海,React,1,1.2%
数据开发工程师,上海,Seaborn,1,1.2%
数据开发工程师,上海,Sqoop,1,1.2%
数据开发工程师,上海,TensorFlow,1,1.2%
数据开发工程师,上海,Trino,1,1.2%
数据开发工程师,上海,Vue,1,1.2%
数据开发工程师,上海,阿里云,1,1.2%
数据开发工程师,北京,CSS,1,1.5%
数据开发工程师,北京,DataX,1,1.5%
数据开发工程师,北京,Django,1,1.5%
数据开发工程师,北京,ECharts,1,1.5%
数据开发工程师,北京,FastAPI,1,1.5%
数据开发工程师,北京,FineReport,1,1.5%
数据开发工程师,北京,Flask,1,1.5%
数据开发工程师,北京,HTML,1,1.5%
数据开发工程师,北京,JavaScript,1,1.5%
数据开发工程师,北京,MATLAB,1,1.5%
数据开发工程师,北京,MongoDB,1,1.5%
数据开发工程师,北京,Nginx,1,1.5%
数据开发工程师,北京,NumPy,1,1.5%
数据开发工程师,北京,OceanBase,1,1.5%
数据开发工程师,北京,Power BI,1,1.5%
数据开发工程师,北京,PySpark,1,1.5%
数据开发工程师,北京,PyTorch,1,1.5%
数据开发工程师,北京,Quick BI,1,1.5%
